,Distance,Last Finish pos,Last-1 Finish pos,Weight,Wins,Places,win%,Place%,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Good Wins,Good Places,Good Starts, age,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,Last Base Rating,Last Finish Pos,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Finish Pos,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Finish Pos,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Finish Pos,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Finish Pos,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight,Cluster,Horse Rating
305,3000,1.0,2.0,66.0,3,5,10.0,16.0,1,0,5,0,1,0,0,7,7,1.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,5.0,1.0,0.0,4.0,24.0,1.0,21.0,21.0,2.0,1.5,1.5,12.0,1.5,1.5,5.0,1.5,1.5,8.0,19,13,95,20,32,141,86,168,723,53,115,497,11,50,4150.0,1.3,66.0,3800.0,0.8,66.0,3000.0,99.0,66.0,2500.0,18.2,66.0,42,43
306,3000,9.0,9.0,66.0,0,1,0.0,6.0,0,0,2,0,0,0,1,11,6,0.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,9.0,-2.0,-2.0,9.0,15.0,15.0,7.0,17.5,17.5,6.0,1.0,1.0,9.0,3,6,35,7,17,94,24,57,237,24,45,260,0,0,3100.0,41.6,65.0,3000.0,99.0,63.0,2200.0,5.8,56.5,2200.0,5.4,56.5,69,70
307,3000,4.0,1.0,69.0,14,19,24.0,32.0,1,2,4,3,2,7,7,30,8,0.0,2.0,7.0,3.0,3.0,7.0,1.0,1.0,6.0,2.0,2.0,6.0,31.0,4.0,29.5,29.5,1.0,27.5,27.5,2.0,29.5,29.5,1.0,18.0,18.0,5.0,59,131,703,20,32,141,86,168,723,53,115,497,5,26,2040.0,3.9,57.0,3000.0,0.2,68.0,3000.0,1.8,67.0,3000.0,0.1,69.5,47,48
308,3000,5.0,5.0,66.0,7,7,11.0,11.0,0,0,5,2,3,0,4,14,10,1.0,3.0,8.0,0.0,2.0,7.0,1.0,0.0,7.0,0.0,1.0,5.0,17.0,5.0,2.5,2.5,5.0,10.0,10.0,7.0,8.0,8.0,4.0,19.5,19.5,6.0,2,5,43,4,4,48,19,28,207,15,30,143,0,7,3100.0,7.6,65.0,3100.0,16.4,63.5,2100.0,12.2,56.5,3000.0,14.6,65.0,47,48
309,3000,7.0,2.0,65.0,5,7,14.0,19.0,0,1,5,1,1,1,1,5,8,0.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,4.0,1.0,1.0,4.0,0.5,7.0,14.0,14.0,2.0,0.5,0.5,6.0,21.0,21.0,1.0,10.5,10.5,11.0,3,6,35,0,0,3,0,2,12,1,2,19,1,3,3350.0,35.0,65.0,3100.0,7.3,62.0,3000.0,99.0,62.0,3100.0,9.0,63.0,42,43
310,3000,7.0,8.0,65.0,8,14,11.0,19.0,0,1,5,1,2,1,5,21,11,0.0,1.0,9.0,0.0,2.0,9.0,1.0,1.0,8.0,0.0,1.0,7.0,8.0,7.0,0.5,0.5,8.0,3.5,3.5,14.0,10.0,10.0,9.0,18.5,18.5,5.0,0,3,13,0,2,8,1,6,19,0,3,22,0,1,2100.0,13.9,57.0,2200.0,42.4,62.0,2100.0,65.5,60.0,2100.0,16.0,57.5,69,70
311,3000,7.0,8.0,65.0,6,7,15.0,18.0,0,0,0,0,2,4,2,16,7,0.0,1.0,7.0,2.0,0.0,6.0,1.0,1.0,6.0,1.0,1.0,5.0,1.5,7.0,14.0,14.0,8.0,4.5,4.5,9.0,7.5,7.5,8.0,28.0,28.0,1.0,19,13,95,20,32,141,86,168,723,53,115,497,11,50,3100.0,35.2,65.5,2000.0,13.7,54.0,2900.0,99.0,65.0,2100.0,16.9,55.5,42,43
312,3000,7.0,1.0,65.0,4,8,12.0,24.0,1,1,2,1,1,2,3,17,7,0.0,0.0,5.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,1.0,4.0,0.5,7.0,21.5,21.5,1.0,16.5,16.5,3.0,0.5,0.5,8.0,8.0,8.0,7.0,5,18,63,3,5,35,7,16,96,22,40,220,3,17,3100.0,20.9,63.0,3000.0,0.2,63.5,3100.0,3.3,63.5,2500.0,31.6,63.5,49,50
313,3000,3.0,7.0,65.0,6,10,11.0,18.0,0,0,2,1,8,1,0,14,10,0.0,0.0,7.0,0.0,2.0,7.0,0.0,1.0,7.0,1.0,2.0,7.0,22.0,3.0,0.5,0.5,7.0,11.5,11.5,3.0,1.5,1.5,5.0,0.5,0.5,4.0,1,2,11,4,1,14,12,16,66,10,8,51,0,2,3100.0,4.6,64.5,3350.0,35.0,65.0,3100.0,11.1,65.0,3900.0,46.1,63.0,69,70
314,2200,3.0,1.0,71.0,7,12,19.0,32.0,0,0,0,1,5,2,3,12,7,1.0,1.0,4.0,0.0,2.0,4.0,1.0,1.0,4.0,0.0,2.0,4.0,10.0,3.0,26.0,26.0,1.0,22.0,22.0,2.0,-1.5,-1.5,11.0,14.5,14.5,7.0,2,8,23,20,32,141,86,168,723,53,115,497,2,15,4200.0,11.4,65.0,3100.0,0.2,65.0,2750.0,1.0,65.5,3100.0,18.2,65.0,49,50
