Distance,Last Finish pos,Last-1 Finish pos,Weight,Wins,Places,win%,Place%,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Good Wins,Good Places,Good Starts,age,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,Last Base Rating,Last Finish Pos,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Finish Pos,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Finish Pos,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Finish Pos,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Finish Pos,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight
1560,0.0,0.0,56.0,8,15,16.0,30.0,0,0,2,2,2,3,6,22,6,1.0,0.0,4.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,0.0,4.0,28.5,10.0,31.5,31.5,11.0,48.0,48.0,3.0,25.0,25.0,8.0,47.5,47.5,3.0,16,32,140,4,6,20,10,25,106,6,8,36,0,0,2000.0,13.0,54.0,2000.0,8.1,54.0,2200.0,1.2,54.5,2040.0,18.0,54.0
1560,0.0,4.0,55.5,5,4,23.0,18.0,0,0,0,4,3,1,2,8,6,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,33.0,10.0,41.0,41.0,4.0,45.5,45.5,3.0,43.5,43.5,1.0,35.5,35.5,7.0,34,80,578,11,14,94,31,56,266,31,52,313,0,5,1400.0,8.2,55.0,1600.0,3.0,58.5,1600.0,0.3,58.5,1600.0,0.1,56.5
1560,5.0,0.0,55.0,4,9,18.0,41.0,1,3,4,1,1,4,5,16,4,1.0,1.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,35.0,5.0,24.5,24.5,12.0,43.0,43.5,5.0,39.5,40.0,9.0,44.0,45.0,3.0,30,49,240,51,95,349,166,229,883,132,214,833,6,33,1600.0,6.6,53.0,1400.0,14.1,55.0,1300.0,2.2,57.0,1200.0,5.5,56.0
1560,8.0,8.0,54.0,3,5,17.0,28.0,0,1,1,0,0,2,3,14,5,0.0,1.0,3.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,39.0,8.0,39.5,39.5,8.0,34.0,34.0,6.0,41.0,41.0,3.0,43.5,43.5,3.0,35,76,468,6,15,75,37,57,318,25,58,312,0,5,1400.0,4.3,54.0,1200.0,5.3,54.5,1400.0,9.5,55.0,1400.0,3.5,55.0
1560,6.0,5.0,55.0,3,1,50.0,17.0,1,0,1,1,1,1,1,4,4,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,40.0,6.0,42.5,43.0,5.0,47.0,48.0,1.0,44.0,45.5,3.0,43.5,45.0,1.0,106,216,1036,11,21,93,21,39,173,28,62,268,5,15,1600.0,4.8,55.5,1500.0,2.9,55.5,1600.0,1.5,58.5,1500.0,1.5,58.0
1560,3.0,5.0,58.5,7,13,16.0,29.0,1,1,3,2,6,4,10,31,6,1.0,2.0,6.0,0.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,4.0,46.5,3.0,34.0,34.0,5.0,40.0,40.0,3.0,33.5,33.5,5.0,36.5,36.5,5.0,0,0,0,10,11,79,36,62,337,21,37,244,0,0,1600.0,1.4,53.0,1600.0,3.9,54.0,1600.0,1.4,55.0,1600.0,4.4,53.0
1215,1.0,1.0,60.0,2,1,40.0,20.0,0,0,0,0,1,1,1,4,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,35.0,1.0,33.0,33.0,1.0,24.5,25.0,9.0,30.5,31.0,2.0,12.0,13.5,11.0,0,0,0,2,5,31,6,13,82,17,33,204,0,0,1000.0,0.3,60.0,1000.0,1.5,58.0,1200.0,5.8,58.0,1200.0,1.8,58.0
1215,5.0,0.0,60.0,2,5,13.0,33.0,0,0,0,2,4,1,3,8,4,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,32.5,5.0,18.5,22.5,12.0,39.5,43.5,5.0,28.5,32.5,6.0,34.0,38.5,2.0,28,75,334,2,7,26,15,31,130,29,42,179,0,1,1200.0,2.9,60.0,1600.0,17.0,57.0,1350.0,0.4,59.0,1400.0,7.6,57.0
1215,1.0,7.0,59.0,1,0,33.0,0.0,0,0,0,1,0,1,0,2,3,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,26.5,31.0,7.0,12.0,17.0,7.0,,,,,,,0,0,0,0,0,5,2,3,33,3,5,23,0,0,1200.0,0.8,58.0,1400.0,4.2,56.0,1200.0,19.0,57.5,,,
1215,1.0,4.0,59.0,1,1,20.0,20.0,0,1,1,0,0,0,0,1,5,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,33.0,1.0,31.0,32.0,4.0,31.0,32.0,3.0,24.0,25.5,6.0,28.0,32.0,5.0,23,41,201,2,4,28,13,16,93,4,12,81,1,5,1580.0,2.8,58.5,1400.0,0.3,56.5,1400.0,0.3,56.5,1200.0,6.4,58.5
1215,7.0,2.0,58.5,1,11,4.0,48.0,0,0,0,1,10,0,4,11,5,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,25.0,7.0,31.0,31.0,2.0,30.0,30.0,8.0,35.0,35.0,2.0,28.5,28.5,6.0,0,1,11,1,4,8,8,32,117,1,7,22,0,0,1200.0,5.1,55.0,1200.0,0.8,55.0,1400.0,3.7,59.0,1200.0,0.4,58.5
1215,3.0,5.0,57.5,1,7,8.0,58.0,0,0,0,0,1,0,4,5,4,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,34.0,3.0,34.0,35.5,5.0,33.0,35.0,3.0,36.5,38.5,2.0,35.5,38.0,3.0,75,185,783,0,2,5,13,17,67,4,6,16,0,0,1200.0,4.1,58.0,1600.0,2.5,58.0,1400.0,3.0,57.5,1600.0,0.2,57.0
1215,6.0,4.0,57.5,3,3,16.0,16.0,1,2,7,3,3,0,1,3,7,2.0,0.0,4.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,23.5,6.0,33.5,33.5,4.0,35.5,35.5,2.0,26.5,26.5,8.0,33.5,33.5,4.0,0,0,0,4,6,37,24,35,207,12,21,144,0,0,1215.0,10.0,58.0,1200.0,1.7,55.5,1100.0,0.5,51.5,1200.0,5.8,54.5
1215,7.0,3.0,57.0,2,6,10.0,29.0,1,3,6,0,3,0,1,3,5,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,28.0,7.0,29.5,29.5,3.0,16.5,16.5,8.0,35.5,36.0,2.0,30.5,31.0,5.0,34,80,578,2,4,18,12,29,138,7,17,83,2,12,1400.0,7.1,59.5,1200.0,4.8,57.5,1400.0,9.4,54.0,1400.0,0.8,57.5
1215,7.0,1.0,57.0,1,2,14.0,29.0,0,1,1,1,2,1,1,6,3,0.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,37.5,7.0,32.5,34.5,1.0,32.0,34.0,2.0,23.5,28.5,5.0,25.5,30.5,9.0,16,32,140,18,41,152,83,142,564,58,108,451,5,26,1200.0,3.0,55.5,1200.0,0.4,55.5,1100.0,1.5,55.0,1150.0,5.2,55.5
1215,3.0,1.0,56.5,1,5,8.0,38.0,0,2,3,1,1,1,4,11,4,0.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,32.0,3.0,31.0,32.0,1.0,30.0,31.5,2.0,27.5,29.0,7.0,28.0,29.5,3.0,50,98,582,14,17,76,52,67,324,25,51,230,1,8,1200.0,2.9,56.5,1200.0,1.3,56.5,1400.0,2.3,56.5,1400.0,2.9,56.5
